,A.Simons,B.McLemore,B.Williams,C.Elleby,C.McCollum,C.McGriff,C.Zeller,D.Lillard,D.Smith Jr.,D.Louzada,D.Eubanks,E.Hughes,G.Brown III,J.Cumberland,J.Hart,J.Winslow,J.Nurkic,K.Blevins,K.Johnson,K.Dunn,L.Nance Jr.,N.Little,N.Powell,R.Perry,R.Covington,T.Snell,T.Watford
A.Simons,0,333,25,206,574,6,109,350,157,0,72,21,44,0,127,179,1195,15,36,0,296,372,256,11,687,135,206
B.McLemore,333,0,188,76,53,1,13,44,292,15,90,33,99,0,74,30,143,36,146,222,46,52,46,61,84,12,203
B.Williams,25,188,0,253,0,9,0,0,0,38,364,101,139,4,216,56,0,69,245,100,5,0,4,45,0,0,332
C.Elleby,206,76,253,0,26,12,10,5,140,11,117,44,93,4,81,58,71,33,136,133,14,37,23,30,21,28,155
C.McCollum,574,53,0,26,0,0,103,523,174,0,0,0,5,0,0,6,686,0,0,0,0,187,212,0,362,0,60
C.McGriff,6,1,9,12,0,0,0,7,5,0,0,0,3,2,0,0,0,0,0,0,3,3,4,6,0,0,0
C.Zeller,109,13,0,10,103,0,0,120,117,0,0,0,6,0,0,0,0,0,0,0,36,39,30,0,22,13,2
D.Lillard,350,44,0,5,523,7,120,0,36,0,0,0,6,0,0,0,830,0,0,0,373,280,379,29,568,76,12
D.Smith Jr.,157,292,0,140,174,5,117,36,0,0,0,0,86,0,0,16,260,48,0,0,144,184,153,12,213,120,343
D.Louzada,0,15,38,11,0,0,0,0,0,0,15,6,4,0,0,0,0,17,23,48,0,0,0,10,0,0,0
D.Eubanks,72,90,364,117,0,0,0,0,0,15,0,51,37,0,105,27,0,37,0,177,0,0,0,0,0,0,47
E.Hughes,21,33,101,44,0,0,0,0,0,6,51,0,29,0,40,3,15,30,83,57,0,0,0,7,0,0,52
G.Brown III,44,99,139,93,5,3,6,6,86,4,37,29,0,2,44,6,9,24,112,90,0,7,3,11,0,3,58
J.Cumberland,0,0,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
J.Hart,127,74,216,81,0,0,0,0,0,0,105,40,44,0,2,63,55,7,24,60,0,0,0,0,0,0,175
J.Winslow,179,30,56,58,6,0,0,0,16,0,27,3,6,0,63,0,88,3,49,23,0,0,0,0,0,2,35
J.Nurkic,1195,143,0,71,686,0,0,830,260,0,0,15,9,0,55,88,0,0,0,0,58,138,426,0,261,47,12
K.Blevins,15,36,69,33,0,0,0,0,48,17,37,30,24,0,7,3,0,0,61,94,0,1,0,10,3,3,52
K.Johnson,36,146,245,136,0,0,0,0,0,23,0,83,112,0,24,49,0,61,0,130,0,0,0,81,0,0,103
K.Dunn,0,222,100,133,0,0,0,0,0,48,177,57,90,0,60,23,0,94,130,0,0,0,0,56,0,0,112
L.Nance Jr.,296,46,5,14,0,3,36,373,144,0,0,0,0,0,0,0,58,0,0,0,0,166,153,1,85,0,1
N.Little,372,52,0,37,187,3,39,280,184,0,0,0,7,0,0,0,138,1,0,0,166,0,102,0,101,37,29
N.Powell,256,46,4,23,212,4,30,379,153,0,0,0,3,0,0,0,426,0,0,0,153,102,0,8,0,31,29
R.Perry,11,61,45,30,0,6,0,29,12,10,0,7,11,2,0,0,0,10,81,56,1,0,8,0,0,1,0
R.Covington,687,84,0,21,362,0,22,568,213,0,0,0,0,0,0,0,261,3,0,0,85,101,0,0,0,19,27
T.Snell,135,12,0,28,0,0,13,76,120,0,0,0,3,0,0,2,47,3,0,0,0,37,31,1,19,0,15
T.Watford,206,203,332,155,60,0,2,12,343,0,47,52,58,0,175,35,12,52,103,112,1,29,29,0,27,15,0
