,B.Portis,B.Lopez,D.Bembry,D.Cousins,D.DiVincenzo,G.Hill,G.Kalaitzakis,G.Antetokounmpo,G.Allen,G.Monroe,J.DeLaurier,J.Smart,J.Dowtin Jr.,J.Carter,J.Nwora,J.Holiday,J.Robinson,K.Middleton,L.Galloway,L.Wigginton,L.Kornet,P.Connaughton,R.Tucker,R.Hood,S.Mamukelashvili,S.Ojeleye,S.Ibaka,T.Antetokounmpo,W.Matthews
B.Portis,0,12,5,3,46,342,2,511,209,0,0,29,0,89,98,1049,46,805,6,20,0,186,0,47,5,13,10,7,75
B.Lopez,12,0,0,0,0,24,0,61,33,0,0,0,0,11,5,112,0,75,0,0,0,20,0,0,0,0,0,3,23
D.Bembry,5,0,0,0,0,0,0,11,4,0,0,0,0,0,6,23,0,10,5,2,0,0,0,0,1,0,4,0,1
D.Cousins,3,0,0,0,9,64,0,35,21,0,0,20,0,0,20,212,0,84,0,0,0,35,0,25,12,0,0,4,21
D.DiVincenzo,46,0,0,9,0,62,0,153,22,18,0,0,0,0,27,0,0,132,4,14,0,63,0,11,10,1,0,4,35
G.Hill,342,24,0,64,62,0,2,608,231,0,0,12,0,14,159,355,21,597,0,5,0,310,0,96,55,55,23,86,60
G.Kalaitzakis,2,0,0,0,0,2,0,2,1,0,0,0,0,0,8,0,19,0,0,0,0,3,0,1,8,1,0,11,0
G.Antetokounmpo,511,61,11,35,153,608,2,0,534,7,0,33,0,97,240,1440,124,1297,14,27,0,501,0,144,30,42,55,40,238
G.Allen,209,33,4,21,22,231,1,534,0,2,0,12,0,37,58,617,27,352,0,2,0,92,0,18,13,20,13,28,34
G.Monroe,0,0,0,0,18,0,0,7,2,0,0,0,0,0,5,24,0,7,0,9,0,8,0,2,1,0,0,2,4
J.DeLaurier,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Smart,29,0,0,20,0,12,0,33,12,0,3,0,2,0,35,31,0,44,0,0,3,30,0,19,44,17,0,18,11
J.Dowtin Jr.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0
J.Carter,89,11,0,0,0,14,0,97,37,0,0,0,0,0,92,63,0,137,4,31,0,40,13,0,43,0,52,66,28
J.Nwora,98,5,6,20,27,159,8,240,58,5,1,35,0,92,0,310,113,203,8,97,0,59,9,50,108,28,28,102,37
J.Holiday,1049,112,23,212,0,355,0,1440,617,24,0,31,0,63,310,0,0,1444,0,16,0,722,0,167,96,83,106,37,247
J.Robinson,46,0,0,0,0,21,19,124,27,0,0,0,0,0,113,0,0,20,0,0,0,46,0,51,42,17,0,54,0
K.Middleton,805,75,10,84,132,597,0,1297,352,7,0,44,0,137,203,1444,20,0,33,29,0,370,0,70,60,22,88,49,190
L.Galloway,6,0,5,0,4,0,0,14,0,0,0,0,0,4,8,0,0,33,0,0,0,6,0,15,10,2,0,4,2
L.Wigginton,20,0,2,0,14,5,0,27,2,9,0,0,0,31,97,16,0,29,0,0,0,2,13,11,74,15,16,68,9
L.Kornet,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
P.Connaughton,186,20,0,35,63,310,3,501,92,8,0,30,0,40,59,722,46,370,6,2,0,0,0,36,24,19,16,53,52
R.Tucker,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,13,0,0,0,0,17,0,0,11,0
R.Hood,47,0,0,25,11,96,1,144,18,2,0,19,0,0,50,167,51,70,15,11,0,36,0,0,18,0,0,29,8
S.Mamukelashvili,5,0,1,12,10,55,8,30,13,1,0,44,0,43,108,96,42,60,10,74,0,24,17,18,0,10,3,51,2
S.Ojeleye,13,0,0,0,1,55,1,42,20,0,0,17,1,0,28,83,17,22,2,15,2,19,0,0,10,0,0,9,1
S.Ibaka,10,0,4,0,0,23,0,55,13,0,0,0,0,52,28,106,0,88,0,16,0,16,0,0,3,0,0,5,13
T.Antetokounmpo,7,3,0,4,4,86,11,40,28,2,0,18,2,66,102,37,54,49,4,68,0,53,11,29,51,9,5,0,2
W.Matthews,75,23,1,21,35,60,0,238,34,4,0,11,0,28,37,247,0,190,2,9,0,52,0,8,2,1,13,2,0
