,A.Nesmith,A.Horford,B.Thomas,B.Fernando,C.Miles,D.Theis,D.Schroder,D.White,E.Freedom,G.Williams,J.Parker,J.Brown,J.Tatum,J.Johnson,J.Richardson,J.Hernangomez,J.Morgan,K.Martin,L.Kornet,M.Fitts,M.Smart,M.Ryan,N.Stauskas,P.Pritchard,R.Williams III,R.Langford,S.Hauser
A.Nesmith,0,32,29,23,0,12,152,33,17,61,10,24,93,0,31,16,1,5,21,11,114,1,0,272,20,24,35
A.Horford,32,0,10,0,0,30,836,234,7,210,4,689,1003,0,255,2,0,0,0,0,1039,0,0,296,131,63,11
B.Thomas,29,10,0,6,0,8,0,0,0,7,0,7,0,0,12,0,0,0,20,7,6,3,3,15,0,5,13
B.Fernando,23,0,6,0,0,0,0,0,1,2,0,3,5,4,6,2,0,0,0,0,2,0,0,47,0,5,4
C.Miles,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Theis,12,30,8,0,0,0,0,134,0,32,0,92,136,0,0,0,0,0,0,0,131,0,1,101,3,0,9
D.Schroder,152,836,0,0,0,0,0,0,108,493,26,602,1123,0,538,11,0,0,0,0,574,0,0,72,408,165,2
D.White,33,234,0,0,0,134,0,0,0,193,0,265,348,0,0,1,0,0,14,0,266,0,0,242,56,0,18
E.Freedom,17,7,0,1,0,0,108,0,0,22,1,48,102,0,67,3,0,0,0,0,76,0,0,97,0,13,0
G.Williams,61,210,7,2,0,32,493,193,22,0,14,293,432,0,187,2,0,0,5,0,457,0,0,258,75,45,10
J.Parker,10,4,0,0,0,0,26,0,1,14,0,8,17,0,10,3,0,0,0,0,23,0,0,55,4,9,3
J.Brown,24,689,7,3,0,92,602,265,48,293,8,0,806,0,227,6,0,0,4,0,1260,0,0,352,456,83,17
J.Tatum,93,1003,0,5,0,136,1123,348,102,432,17,806,0,0,293,12,0,0,0,0,1884,0,1,520,625,92,6
J.Johnson,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
J.Richardson,31,255,12,6,0,0,538,0,67,187,10,227,293,0,0,4,0,0,0,0,330,0,0,199,141,0,10
J.Hernangomez,16,2,0,2,0,0,11,1,3,2,3,6,12,0,4,0,0,0,0,0,19,0,0,63,7,5,0
J.Morgan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Martin,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,1
L.Kornet,21,0,20,0,0,0,0,14,0,5,0,4,0,0,0,0,0,0,0,9,0,4,1,55,0,0,21
M.Fitts,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,2,1,9,0,0,4
M.Smart,114,1039,6,2,0,131,574,266,76,457,23,1260,1884,0,330,19,0,0,0,0,0,0,0,186,795,91,13
M.Ryan,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2
N.Stauskas,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,16,0,0,5
P.Pritchard,272,296,15,47,0,101,72,242,97,258,55,352,520,4,199,63,0,3,55,9,186,0,16,0,138,126,130
R.Williams III,20,131,0,0,0,3,408,56,0,75,4,456,625,0,141,7,0,0,0,0,795,0,0,138,0,44,1
R.Langford,24,63,5,5,0,0,165,0,13,45,9,83,92,0,0,5,0,0,0,0,91,0,0,126,44,0,6
S.Hauser,35,11,13,4,0,9,2,18,0,10,3,17,6,0,10,0,0,1,21,4,13,2,5,130,1,6,0
