,A.Coffey,B.Boston Jr.,E.Bledsoe,I.Hartenstein,I.Zubac,J.Ennis III,J.Scrubb,J.Winslow,K.Johnson,L.Kennard,M.Morris Sr.,M.Wright,N.Batum,N.Powell,P.George,R.Jackson,R.Covington,R.Hood,S.Ojeleye,S.Ibaka,T.Mann,W.Gabriel,X.Moon
A.Coffey,0,112,250,274,208,1,25,76,26,193,189,0,169,6,69,526,96,35,25,75,321,3,82
B.Boston Jr.,112,0,265,181,36,0,27,52,37,68,27,1,24,0,23,141,29,21,26,69,179,5,56
E.Bledsoe,250,265,0,386,386,2,6,210,21,550,267,0,293,0,624,467,0,0,0,256,536,3,8
I.Hartenstein,274,181,386,0,1,0,37,98,12,516,34,0,69,20,118,427,113,45,19,4,571,0,51
I.Zubac,208,36,386,1,0,0,2,20,0,179,269,0,287,20,491,1356,36,9,6,14,366,0,1
J.Ennis III,1,0,2,0,0,0,1,3,4,0,0,0,0,0,0,2,0,0,0,0,0,1,20
J.Scrubb,25,27,6,37,2,1,0,15,7,12,0,0,0,0,0,2,0,0,0,5,35,4,25
J.Winslow,76,52,210,98,20,3,15,0,49,100,9,0,5,0,15,130,0,0,0,16,113,4,43
K.Johnson,26,37,21,12,0,4,7,49,0,8,5,1,0,0,2,2,0,0,0,16,13,9,34
L.Kennard,193,68,550,516,179,0,12,100,8,0,137,0,132,26,241,624,112,9,5,71,562,0,17
M.Morris Sr.,189,27,267,34,269,0,0,9,5,137,0,0,232,29,157,1004,16,0,0,68,303,0,4
M.Wright,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Batum,169,24,293,69,287,0,0,5,0,132,232,0,0,24,262,970,19,0,0,23,275,0,0
N.Powell,6,0,0,20,20,0,0,0,0,26,29,0,24,0,14,39,0,1,0,6,43,0,2
P.George,69,23,624,118,491,0,0,15,2,241,157,0,262,14,0,822,43,0,0,54,300,0,0
R.Jackson,526,141,467,427,1356,2,2,130,2,624,1004,0,970,39,822,0,182,3,0,258,754,1,9
R.Covington,96,29,0,113,36,0,0,0,0,112,16,0,19,0,43,182,0,12,8,4,253,0,35
R.Hood,35,21,0,45,9,0,0,0,0,9,0,0,0,1,0,3,12,0,0,0,9,0,25
S.Ojeleye,25,26,0,19,6,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,15,0,0
S.Ibaka,75,69,256,4,14,0,5,16,16,71,68,0,23,6,54,258,4,0,0,0,153,0,13
T.Mann,321,179,536,571,366,0,35,113,13,562,303,0,275,43,300,754,253,9,15,153,0,5,39
W.Gabriel,3,5,3,0,0,1,4,4,9,0,0,0,0,0,0,1,0,0,0,0,5,0,26
X.Moon,82,56,8,51,1,20,25,43,34,17,4,0,0,2,0,9,35,25,0,13,39,26,0
