,B.Clarke,D.Jeffries,D.Mathias,D.Melton,D.Bane,D.Brooks,J.Morant,J.Jackson Jr.,J.Culver,J.Konchar,J.Teske,K.Tillie,K.Anderson,S.Merrill,S.Aldama,S.Buchanan,S.Adams,T.Terry,T.Jones,X.Sneed,X.Tillman,Y.Pons,Z.Williams
B.Clarke,0,0,0,232,333,89,348,111,44,151,0,22,115,21,26,5,18,1,493,0,27,1,86
D.Jeffries,0,0,3,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0
D.Mathias,0,3,0,0,0,0,0,0,8,5,1,0,0,0,2,0,0,0,0,1,4,0,0
D.Melton,232,0,0,0,441,161,879,232,71,228,0,43,474,3,58,0,429,0,644,0,204,4,153
D.Bane,333,0,0,441,0,212,1418,721,43,360,0,99,377,3,40,0,780,0,992,0,195,0,177
D.Brooks,89,0,0,161,212,0,154,198,2,70,0,11,149,0,7,0,316,0,381,0,54,0,15
J.Morant,348,0,0,879,1418,154,0,741,34,284,0,76,691,15,25,0,1014,0,242,0,139,0,364
J.Jackson Jr.,111,0,0,232,721,198,741,0,28,169,0,33,109,3,5,3,240,0,720,0,55,2,97
J.Culver,44,5,8,71,43,2,34,28,0,166,0,40,30,17,83,0,15,0,42,0,109,15,28
J.Konchar,151,0,5,228,360,70,284,169,166,0,0,101,141,42,129,0,81,0,389,0,275,23,122
J.Teske,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K.Tillie,22,0,0,43,99,11,76,33,40,101,0,0,15,10,25,1,24,2,81,1,64,2,2
K.Anderson,115,0,0,474,377,149,691,109,30,141,0,15,0,3,17,1,213,0,509,1,113,3,151
S.Merrill,21,0,0,3,3,0,15,3,17,42,0,10,3,0,27,0,0,0,10,0,17,1,6
S.Aldama,26,1,2,58,40,7,25,5,83,129,1,25,17,27,0,0,10,0,35,1,46,7,17
S.Buchanan,5,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,1,10,0,3,0,0
S.Adams,18,0,0,429,780,316,1014,240,15,81,0,24,213,0,10,1,0,0,533,0,1,0,160
T.Terry,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0
T.Jones,493,0,0,644,992,381,242,720,42,389,0,81,509,10,35,10,533,0,0,3,196,1,191
X.Sneed,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,1,0
X.Tillman,27,0,4,204,195,54,139,55,109,275,0,64,113,17,46,3,1,3,196,0,0,8,73
Y.Pons,1,0,0,4,0,0,0,2,15,23,0,2,3,1,7,0,0,0,1,1,8,0,3
Z.Williams,86,0,0,153,177,15,364,97,28,122,0,2,151,6,17,0,160,0,191,0,73,3,0
