,B.Bogdanovic,C.Reddish,C.Oliver,C.Barber,C.Brown Jr.,C.Capela,D.Gallinari,D.Hunter,D.Wright,G.Dieng,J.Johnson,J.Collins,K.Huerter,K.Knox II,L.Stephenson,L.Williams,M.Hill,O.Okongwu,S.Cooper,S.Mays,S.Hill,T.Luwawu-Cabarrot,T.Young,W.Iwundu
B.Bogdanovic,0,36,0,3,3,239,277,195,452,67,11,323,262,13,14,202,0,244,3,31,7,48,1271,6
C.Reddish,36,0,3,0,1,82,127,10,231,92,0,84,88,0,18,101,3,26,13,34,23,12,191,9
C.Oliver,0,3,0,3,8,0,0,0,0,0,0,0,0,0,6,12,2,0,0,9,0,0,24,5
C.Barber,3,0,3,0,10,0,0,0,0,6,1,0,0,0,11,0,5,0,0,4,0,0,0,2
C.Brown Jr.,3,1,8,10,0,9,0,0,0,2,0,0,0,0,6,11,0,0,0,8,0,0,52,5
C.Capela,239,82,0,0,9,0,126,150,212,0,0,160,410,0,1,117,1,1,0,13,11,59,1803,9
D.Gallinari,277,127,0,0,0,126,0,105,725,51,0,120,410,3,0,351,0,137,0,4,21,53,900,0
D.Hunter,195,10,0,0,0,150,105,0,156,9,1,150,295,1,0,39,0,48,0,0,0,26,976,0
D.Wright,452,231,0,0,0,212,725,156,0,202,38,346,345,42,9,414,0,371,24,65,54,146,283,11
G.Dieng,67,92,0,6,2,0,51,9,202,2,24,17,65,17,31,70,0,0,27,77,26,41,96,2
J.Johnson,11,0,0,1,0,0,0,1,38,24,0,3,3,5,10,17,1,7,27,33,0,14,15,1
J.Collins,323,84,0,0,0,160,120,150,346,17,3,0,435,1,12,89,0,35,8,39,11,55,1649,4
K.Huerter,262,88,0,0,0,410,410,295,345,65,3,435,0,6,0,126,0,142,2,5,27,128,1414,0
K.Knox II,13,0,0,0,0,0,3,1,42,17,5,1,6,0,0,20,0,9,1,26,0,10,14,0
L.Stephenson,14,18,6,11,6,1,0,0,9,31,10,12,0,0,0,5,1,3,7,28,0,0,2,1
L.Williams,202,101,12,0,11,117,351,39,414,70,17,89,126,20,5,0,0,228,0,10,12,37,94,16
M.Hill,0,3,2,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,18,0
O.Okongwu,244,26,0,0,0,1,137,48,371,0,7,35,142,9,3,228,0,0,11,23,0,33,278,0
S.Cooper,3,13,0,0,0,0,0,0,24,27,27,8,2,1,7,0,0,11,0,18,2,19,0,0
S.Mays,31,34,9,4,8,13,4,0,65,77,33,39,5,26,28,10,5,23,18,0,1,39,49,12
S.Hill,7,23,0,0,0,11,21,0,54,26,0,11,27,0,0,12,0,0,2,1,0,5,58,0
T.Luwawu-Cabarrot,48,12,0,0,0,59,53,26,146,41,14,55,128,10,0,37,0,33,19,39,5,0,325,0
T.Young,1271,191,24,0,52,1803,900,976,283,96,15,1649,1414,14,2,94,18,278,0,49,58,325,0,31
W.Iwundu,6,9,5,2,5,9,0,0,11,2,1,4,0,0,1,16,0,0,0,12,0,0,31,0
