,B.Bogdanovic,D.House Jr.,D.Valentine,D.Mitchell,E.Hughes,E.Paschall,G.Monroe,H.Whiteside,J.Butler,J.Ingles,J.Clarkson,J.Hernangomez,M.Fitts,M.Conley,M.Oni,N.Alexander-Walker,N.Pelle,R.O'Neale,R.Gay,R.Gobert,T.Forrest,U.Azubuike,X.Sneed,Z.Cheatham
B.Bogdanovic,0,10,0,1198,0,21,1,92,35,260,185,2,0,818,0,1,0,539,56,168,190,6,0,0
D.House Jr.,10,2,0,83,14,19,0,18,55,5,117,14,7,189,0,9,0,16,50,36,92,1,0,0
D.Valentine,0,0,0,2,0,3,0,0,0,0,8,0,0,10,0,0,0,1,0,0,2,0,0,0
D.Mitchell,1198,83,2,0,0,88,5,272,5,404,711,84,0,1027,0,25,4,2008,250,447,236,20,0,5
E.Hughes,0,14,0,0,0,28,0,13,49,2,4,0,9,24,3,0,0,0,4,0,46,3,0,0
E.Paschall,21,19,3,88,28,0,2,15,150,98,166,13,5,357,13,37,0,34,6,40,202,8,6,0
G.Monroe,1,0,0,5,0,2,0,0,7,0,4,1,0,3,0,3,0,4,0,0,0,0,0,0
H.Whiteside,92,18,0,272,13,15,0,0,45,94,168,9,0,91,1,2,0,100,32,0,82,0,0,0
J.Butler,35,55,0,5,49,150,7,45,0,31,111,65,21,24,21,69,0,60,69,27,100,17,12,0
J.Ingles,260,5,0,404,2,98,0,94,31,0,376,0,0,738,0,0,0,351,260,346,133,0,0,0
J.Clarkson,185,117,8,711,4,166,4,168,111,376,0,47,0,740,2,20,1,378,353,281,397,14,0,0
J.Hernangomez,2,14,0,84,0,13,1,9,65,0,47,0,0,139,0,43,0,37,4,21,13,4,4,0
M.Fitts,0,7,0,0,9,5,0,0,21,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0
M.Conley,818,189,10,1027,24,357,3,91,24,738,740,139,0,0,4,27,3,1791,637,816,127,38,0,0
M.Oni,0,0,0,0,3,13,0,1,21,0,2,0,2,4,0,0,0,0,0,1,16,0,0,0
N.Alexander-Walker,1,9,0,25,0,37,3,2,69,0,20,43,0,27,0,0,0,22,18,17,5,8,12,0
N.Pelle,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0
R.O'Neale,539,16,1,2008,0,34,4,100,60,351,378,37,0,1791,0,22,4,0,74,184,337,21,0,0
R.Gay,56,50,0,250,4,6,0,32,69,260,353,4,0,637,0,18,0,74,0,85,209,0,2,0
R.Gobert,168,36,0,447,0,40,0,0,27,346,281,21,0,816,1,17,0,184,85,0,68,0,0,0
T.Forrest,190,92,2,236,46,202,0,82,100,133,397,13,17,127,16,5,0,337,209,68,0,30,0,2
U.Azubuike,6,1,0,20,3,8,0,0,17,0,14,4,0,38,0,8,0,21,0,0,30,0,0,0
X.Sneed,0,0,0,0,0,6,0,0,12,0,0,4,0,0,0,12,0,0,2,0,0,0,0,0
Z.Cheatham,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
