,A.Burks,C.Reddish,D.Dotson,D.House Jr.,D.Rose,E.Fournier,F.Hunt,I.Quickley,J.Sims,J.Randle,K.Walker,K.Knox II,M.Mooney,M.McBride,M.Robinson,N.Noel,O.Toppin,Q.Grimes,R.Barrett,R.Arcidiacono,T.Gibson,T.Hall,W.Selden
A.Burks,0,48,9,0,326,729,2,1017,171,1488,122,34,0,71,386,134,547,149,1053,40,219,0,6
C.Reddish,48,0,0,0,0,6,0,77,6,17,6,0,0,11,8,3,34,4,31,0,11,0,0
D.Dotson,9,0,0,0,0,3,0,0,1,5,10,0,0,0,0,0,5,0,0,0,0,0,1
D.House Jr.,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
D.Rose,326,0,0,0,0,136,0,328,19,483,0,28,0,5,136,146,295,28,164,0,118,0,0
E.Fournier,729,6,3,2,136,0,0,250,57,1381,620,1,0,34,209,61,140,49,428,11,113,0,1
F.Hunt,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0
I.Quickley,1017,77,0,0,328,250,8,0,291,743,24,73,0,216,248,145,862,301,685,41,331,0,0
J.Sims,171,6,1,0,19,57,0,291,0,66,16,0,0,45,0,0,28,15,75,9,9,0,0
J.Randle,1488,17,5,0,483,1381,0,743,66,0,1357,17,0,52,423,147,39,192,1062,0,139,0,2
K.Walker,122,6,10,3,0,620,0,24,16,1357,0,0,0,0,397,84,53,120,539,0,120,0,3
K.Knox II,34,0,0,0,28,1,0,73,0,17,0,0,0,20,5,2,8,15,2,0,1,0,0
M.Mooney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,2,0
M.McBride,71,11,0,0,5,34,0,216,45,52,0,20,0,0,33,9,98,54,75,6,60,0,0
M.Robinson,386,8,0,0,136,209,0,248,0,423,397,5,0,33,0,0,58,42,304,3,4,0,0
N.Noel,134,3,0,0,146,61,0,145,0,147,84,2,0,9,0,0,41,16,52,0,2,0,1
O.Toppin,547,34,5,0,295,140,1,862,28,39,53,8,3,98,58,41,0,102,219,21,71,1,0
Q.Grimes,149,4,0,0,28,49,0,301,15,192,120,15,0,54,42,16,102,0,82,1,41,0,0
R.Barrett,1053,31,0,0,164,428,0,685,75,1062,539,2,2,75,304,52,219,82,0,1,107,1,0
R.Arcidiacono,40,0,0,0,0,11,2,41,9,0,0,0,0,6,3,0,21,1,1,0,7,0,0
T.Gibson,219,11,0,0,118,113,4,331,9,139,120,1,2,60,4,2,71,41,107,7,0,0,5
T.Hall,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
W.Selden,6,0,1,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,5,0,0
