,B.Marjanovic,B.Knight,C.Jones,C.Brown Jr.,D.Bertans,D.Finney-Smith,D.Powell,E.Omoruyi,F.Ntilikina,G.King,I.Thomas,J.McLaughlin,J.Brunson,J.Green,K.Porzingis,L.Doncic,M.Chriss,M.Kleber,M.Brown,M.Wright,R.Bullock,S.Dinwiddie,S.Brown,T.Pinson,T.Hardaway Jr.,T.Burke,W.Cauley-Stein
B.Marjanovic,0,0,0,0,8,19,0,0,16,0,0,0,53,8,1,23,0,0,2,1,12,0,15,7,23,50,0
B.Knight,0,0,12,8,7,12,15,0,18,6,0,0,44,15,26,2,13,7,14,0,2,0,12,19,0,0,0
C.Jones,0,12,0,0,0,6,0,0,1,3,0,0,0,1,5,0,10,0,0,0,0,0,4,12,0,0,0
C.Brown Jr.,0,8,0,0,0,0,0,0,3,2,0,0,6,1,0,0,0,0,1,0,0,0,0,3,0,0,0
D.Bertans,8,7,0,0,0,14,7,0,22,0,0,0,112,47,0,96,3,28,0,1,7,0,15,11,0,47,0
D.Finney-Smith,19,12,6,0,14,0,328,0,132,0,3,0,1179,121,210,1332,28,255,10,0,387,199,64,12,243,106,21
D.Powell,0,15,0,0,7,328,0,0,89,1,7,0,937,64,70,1178,1,42,0,0,202,162,30,5,128,39,0
E.Omoruyi,0,0,0,0,0,0,0,0,7,0,0,3,0,9,0,0,0,0,1,0,0,0,6,0,0,16,0
F.Ntilikina,16,18,1,3,22,132,89,7,0,2,7,0,402,105,95,118,89,77,23,4,102,27,96,61,63,152,31
G.King,0,6,3,2,0,0,1,0,2,0,0,0,5,0,0,0,2,0,0,0,0,0,1,2,0,0,0
I.Thomas,0,0,0,0,0,3,7,0,7,0,0,0,2,5,10,0,0,0,5,0,0,0,5,0,0,0,0
J.McLaughlin,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,6,4,0,0,0,3,0,1,4,0
J.Brunson,53,44,0,6,112,1179,937,0,402,5,2,4,0,247,711,1348,103,871,45,0,841,332,287,47,601,119,83
J.Green,8,15,1,1,47,121,64,9,105,0,5,3,247,0,61,244,57,95,15,1,106,114,65,17,60,96,2
K.Porzingis,1,26,5,0,0,210,70,0,95,0,10,0,711,61,0,585,4,68,3,0,108,0,48,19,263,78,2
L.Doncic,23,2,0,0,96,1332,1178,0,118,0,0,0,1348,244,585,0,137,1014,27,0,869,345,96,2,659,63,84
M.Chriss,0,13,10,0,3,28,1,0,89,2,0,0,103,57,4,137,0,6,1,0,26,21,17,36,31,58,0
M.Kleber,0,7,0,0,28,255,42,0,77,0,0,6,871,95,68,1014,6,0,8,0,188,173,42,1,188,152,10
M.Brown,2,14,0,1,0,10,0,1,23,0,5,4,45,15,3,27,1,8,0,0,4,0,7,4,20,32,0
M.Wright,1,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,3,0
R.Bullock,12,2,0,0,7,387,202,0,102,0,0,0,841,106,108,869,26,188,4,0,0,150,65,1,147,70,12
S.Dinwiddie,0,0,0,0,0,199,162,0,27,0,0,0,332,114,0,345,21,173,0,0,150,0,35,8,0,15,0
S.Brown,15,12,4,0,15,64,30,6,96,1,5,3,287,65,48,96,17,42,7,2,65,35,0,26,54,128,11
T.Pinson,7,19,12,3,11,12,5,0,61,2,0,0,47,17,19,2,36,1,4,7,1,8,26,0,0,75,0
T.Hardaway Jr.,23,0,0,0,0,243,128,0,63,0,0,1,601,60,263,659,31,188,20,0,147,0,54,0,0,151,31
T.Burke,50,0,0,0,47,106,39,16,152,0,0,4,119,96,78,63,58,152,32,3,70,15,128,75,151,0,17
W.Cauley-Stein,0,0,0,0,0,21,0,0,31,0,0,0,83,2,2,84,0,10,0,0,12,0,11,0,31,17,0
