,A.Gordon,A.Rivers,B.Bol,B.Hyland,B.Forbes,C.Jones,D.Reed,D.Cousins,F.Campazzo,J.Green,J.Ennis III,M.Howard,M.Porter Jr.,M.Morris,N.Jokic,P.Dozier,P.Cornelie,R.Tucker,V.Cancar,W.Barton,Z.Nnaji
A.Gordon,0,127,0,166,23,0,32,36,181,0,0,4,49,960,1670,46,1,1,0,582,18
A.Rivers,127,0,15,421,145,0,82,172,354,0,0,7,1,214,473,41,8,2,19,161,66
B.Bol,0,15,0,27,0,1,4,0,37,2,0,18,0,6,10,5,2,1,13,4,7
B.Hyland,166,421,27,0,361,0,318,493,573,0,7,43,9,156,751,117,8,1,27,331,173
B.Forbes,23,145,0,361,0,0,67,171,183,0,0,8,0,62,120,0,0,0,3,26,17
C.Jones,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,4,0,0,0
D.Reed,32,82,4,318,67,3,0,81,256,0,4,41,0,117,188,0,6,5,40,112,79
D.Cousins,36,172,0,493,171,0,81,0,168,0,0,3,0,99,3,0,0,0,0,53,11
F.Campazzo,181,354,37,573,183,0,256,168,0,0,13,95,26,178,612,136,32,5,114,386,260
J.Green,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
J.Ennis III,0,0,0,7,0,0,4,0,13,3,0,0,0,0,0,0,0,0,0,0,0
M.Howard,4,7,18,43,8,0,41,3,95,0,0,0,0,12,19,1,13,0,25,8,32
M.Porter Jr.,49,1,0,9,0,0,0,0,26,0,0,0,0,124,154,6,0,0,0,58,0
M.Morris,960,214,6,156,62,0,117,99,178,0,0,12,124,0,3365,59,0,6,9,1252,36
N.Jokic,1670,473,10,751,120,0,188,3,612,0,0,19,154,3365,0,94,0,4,34,1826,56
P.Dozier,46,41,5,117,0,0,0,0,136,0,0,1,6,59,94,0,0,0,0,80,14
P.Cornelie,1,8,2,8,0,2,6,0,32,0,0,13,0,0,0,0,0,1,9,0,4
R.Tucker,1,2,1,1,0,4,5,0,5,1,0,0,0,6,4,0,1,0,0,4,0
V.Cancar,0,19,13,27,3,0,40,0,114,0,0,25,0,9,34,0,9,0,0,34,16
W.Barton,582,161,4,331,26,0,112,53,386,0,0,8,58,1252,1826,80,0,4,34,0,70
Z.Nnaji,18,66,7,173,17,0,79,11,260,0,0,32,0,36,56,14,4,0,16,70,0
