,A.Caver,B.Wanamaker,B.Hield,C.LeVert,C.Duarte,D.Jarreau,D.Sabonis,D.Washington Jr.,G.York,G.Bitadze,I.Jackson,J.Smith,J.Lamb,J.Anderson,J.Holiday,K.Sykes,K.Martin,L.Stephenson,M.Brogdon,M.Turner,N.Hinton,O.Brissett,R.Perry,T.McConnell,T.Taylor,T.Craig,T.Thompson,T.Haliburton
A.Caver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
B.Wanamaker,0,0,0,117,81,0,177,12,0,43,20,0,141,0,80,0,76,0,41,71,0,101,0,30,0,66,0,0
B.Hield,0,0,0,0,49,0,0,82,1,190,130,171,0,92,0,67,0,193,213,0,0,270,0,48,139,0,0,0
C.LeVert,0,117,0,0,501,0,863,122,0,65,30,0,182,0,390,16,76,42,567,273,3,194,1,165,71,317,0,0
C.Duarte,0,81,49,501,0,0,688,61,0,159,51,22,93,0,196,91,38,132,567,230,0,139,0,301,38,218,7,121
D.Jarreau,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
D.Sabonis,0,177,0,863,688,0,0,187,0,13,0,0,0,10,0,266,75,198,961,155,0,143,0,437,0,194,0,0
D.Washington Jr.,0,12,82,122,61,0,187,0,5,65,57,76,49,20,67,207,3,286,66,59,0,111,2,11,99,52,8,190
G.York,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,11,8,0,0,4
G.Bitadze,0,43,190,65,159,0,13,65,0,0,4,17,98,20,53,125,12,165,62,0,0,63,0,70,28,46,0,291
I.Jackson,0,20,130,30,51,0,0,57,5,4,0,12,28,2,31,29,3,57,59,0,0,46,0,35,4,20,0,215
J.Smith,0,0,171,0,22,0,0,76,0,17,12,0,0,24,0,45,0,131,75,0,0,41,0,18,22,0,0,384
J.Lamb,0,141,0,182,93,1,0,49,0,98,28,0,0,0,0,36,34,182,144,54,0,143,0,153,14,99,0,0
J.Anderson,0,0,92,0,0,0,10,20,0,20,2,24,0,0,1,44,0,103,11,1,0,46,0,2,23,9,0,146
J.Holiday,0,80,0,390,196,0,0,67,0,53,31,0,0,1,0,154,30,104,301,131,0,71,0,212,31,161,0,0
K.Sykes,0,0,67,16,91,0,266,207,0,125,29,45,36,44,154,0,2,168,6,75,0,98,0,0,58,117,9,89
K.Martin,0,76,0,76,38,0,75,3,0,12,3,0,34,0,30,2,0,0,121,26,0,38,0,160,0,47,0,0
L.Stephenson,0,0,193,42,132,0,198,286,7,165,57,131,182,103,104,168,0,0,28,48,0,327,10,21,136,126,13,163
M.Brogdon,0,41,213,567,567,0,961,66,0,62,59,75,144,11,301,6,121,28,0,415,0,222,0,274,19,105,0,205
M.Turner,0,71,0,273,230,0,155,59,0,0,0,0,54,1,131,75,26,48,415,0,0,42,0,227,0,66,0,0
N.Hinton,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O.Brissett,2,101,270,194,139,0,143,111,0,63,46,41,143,46,71,98,38,327,222,42,0,0,0,84,54,77,2,615
R.Perry,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
T.McConnell,0,30,48,165,301,0,437,11,11,70,35,18,153,2,212,0,160,21,274,227,0,84,0,0,18,204,0,43
T.Taylor,1,0,139,71,38,0,0,99,8,28,4,22,14,23,31,58,0,136,19,0,0,54,0,18,0,15,3,274
T.Craig,0,66,0,317,218,2,194,52,0,46,20,0,99,9,161,117,47,126,105,66,0,77,0,204,15,0,0,0
T.Thompson,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,9,0,13,0,0,0,2,0,0,3,0,0,0
T.Haliburton,0,0,0,0,121,0,0,190,4,291,215,384,0,146,0,89,0,163,205,0,0,615,0,43,274,0,0,0
