,A.Johnson,B.Ingram,C.McCollum,D.Graham,D.Louzada,G.Temple,G.Clark,H.Jones,J.Harper,J.Hayes,J.Valanciunas,J.Alvarado,J.Hart,K.Lewis Jr.,L.Nance Jr.,N.Marshall,N.Alexander-Walker,T.Satoransky,T.Snell,T.Murphy III,T.Wallace,W.Hernangomez
A.Johnson,0,0,0,2,0,4,3,0,0,0,0,23,0,0,0,6,0,0,0,1,3,0
B.Ingram,0,0,381,1026,0,151,33,566,0,274,895,239,406,121,15,43,310,149,42,73,0,208
C.McCollum,0,381,0,314,0,39,27,434,0,198,744,161,0,0,0,170,0,0,0,46,2,227
D.Graham,2,1026,314,0,0,402,72,851,0,355,1747,176,740,11,47,245,675,86,73,152,7,337
D.Louzada,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,1,0,7,0,2,0,0
G.Temple,4,151,39,402,1,0,56,118,32,81,218,98,152,72,12,21,183,137,17,24,0,113
G.Clark,3,33,27,72,0,56,0,20,32,25,19,109,10,0,5,38,48,34,19,13,5,12
H.Jones,0,566,434,851,0,118,20,0,3,197,527,180,253,83,13,60,214,107,29,60,4,175
J.Harper,0,0,0,0,0,32,32,3,0,9,0,0,0,0,23,20,0,16,30,15,0,15
J.Hayes,0,274,198,355,0,81,25,197,9,0,84,272,82,90,6,118,205,126,16,48,3,25
J.Valanciunas,0,895,744,1747,0,218,19,527,0,84,0,274,576,169,10,150,568,240,19,77,20,0
J.Alvarado,23,239,161,176,2,98,109,180,0,272,274,0,70,27,83,302,215,17,79,153,24,358
J.Hart,0,406,0,740,0,152,10,253,0,82,576,70,2,55,0,16,331,151,0,21,0,146
K.Lewis Jr.,0,121,0,11,5,72,0,83,0,90,169,27,55,0,0,89,186,67,0,84,0,129
L.Nance Jr.,0,15,0,47,0,12,5,13,23,6,10,83,0,0,0,37,0,0,0,27,0,8
N.Marshall,6,43,170,245,1,21,38,60,20,118,150,302,16,89,37,0,55,59,24,112,25,116
N.Alexander-Walker,0,310,0,675,0,183,48,214,0,205,568,215,331,186,0,55,0,247,0,53,0,235
T.Satoransky,0,149,0,86,7,137,34,107,16,126,240,17,151,67,0,59,247,0,0,74,0,141
T.Snell,0,42,0,73,0,17,19,29,30,16,19,79,0,0,0,24,0,0,0,7,0,14
T.Murphy III,1,73,46,152,2,24,13,60,15,48,77,153,21,84,27,112,53,74,7,0,15,53
T.Wallace,3,0,2,7,0,0,5,4,0,3,20,24,0,0,0,25,0,0,0,15,0,17
W.Hernangomez,0,208,227,337,0,113,12,175,15,25,0,358,146,129,8,116,235,141,14,53,17,0
