,A.Lamb,B.Forbes,D.Murray,D.White,D.Vassell,D.Cacok,D.McDermott,D.Eubanks,J.Poeltl,J.Morris,J.Landale,J.Wieskamp,J.Richardson,J.Primo,J.Hernangomez,K.Bates-Diop,K.Johnson,L.Walker IV,R.Langford,T.Young,T.Satoransky,T.Jones,T.Johnson,Z.Collins
A.Lamb,0,0,0,0,0,5,0,2,0,8,0,5,0,0,0,0,0,0,0,0,0,0,5,0
B.Forbes,0,0,249,116,57,6,16,92,117,0,55,9,0,46,0,50,78,99,0,73,0,137,11,0
D.Murray,0,249,2,938,806,26,677,366,2022,0,193,25,211,275,0,237,1723,639,3,325,0,159,16,203
D.White,0,116,938,0,305,0,298,266,791,0,76,2,0,49,1,139,550,255,0,154,0,182,0,11
D.Vassell,0,57,806,305,0,1,68,127,321,0,108,3,91,112,1,105,361,267,7,90,0,469,0,89
D.Cacok,5,6,26,0,1,0,0,5,3,9,11,16,22,66,3,0,0,16,3,2,0,43,11,2
D.McDermott,0,16,677,298,68,0,0,81,283,0,29,0,7,25,0,26,219,55,0,65,0,147,0,31
D.Eubanks,2,92,366,266,127,5,81,0,0,5,11,11,0,60,2,23,0,143,0,2,0,139,12,0
J.Poeltl,0,117,2022,791,321,3,283,0,0,0,8,9,107,176,0,86,504,249,4,0,1,365,2,0
J.Morris,8,0,0,0,0,9,0,5,0,0,1,11,0,2,0,0,0,0,0,0,0,0,3,0
J.Landale,0,55,193,76,108,11,29,11,8,1,0,25,67,162,4,50,71,148,4,5,0,280,12,24
J.Wieskamp,5,9,25,2,3,16,0,11,9,11,25,0,14,38,1,12,7,11,0,12,0,73,5,12
J.Richardson,0,0,211,0,91,22,7,0,107,0,67,14,0,65,4,41,131,75,0,0,0,238,0,166
J.Primo,0,46,275,49,112,66,25,60,176,2,162,38,65,0,9,54,138,109,1,10,0,234,14,138
J.Hernangomez,0,0,0,1,1,3,0,2,0,0,4,1,4,9,0,0,4,10,5,0,0,38,0,0
K.Bates-Diop,0,50,237,139,105,0,26,23,86,0,50,12,41,54,0,0,37,116,3,26,0,256,11,48
K.Johnson,0,78,1723,550,361,0,219,0,504,0,71,7,131,138,4,37,0,215,9,86,2,520,0,97
L.Walker IV,0,99,639,255,267,16,55,143,249,0,148,11,75,109,10,116,215,0,1,129,4,402,11,87
R.Langford,0,0,3,0,7,3,0,0,4,0,4,0,0,1,5,3,9,1,0,0,0,9,0,7
T.Young,0,73,325,154,90,2,65,2,0,0,5,12,0,10,0,26,86,129,0,0,0,194,0,0
T.Satoransky,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0
T.Jones,0,137,159,182,469,43,147,139,365,0,280,73,238,234,38,256,520,402,9,194,2,0,0,292
T.Johnson,5,11,16,0,0,11,0,12,2,3,12,5,0,14,0,11,0,11,0,0,0,0,0,0
Z.Collins,0,0,203,11,89,2,31,0,0,0,24,12,166,138,0,48,97,87,7,0,0,292,0,0
