,A.Holiday,A.Nader,B.Biyombo,C.Johnson,C.Payne,C.Hutchison,C.Paul,D.Ayton,D.Booker,E.Payton,E.Terry,F.Kaminsky,G.Lundberg,I.Wainright,J.McGee,J.Crowder,J.Smith,J.Jackson,L.Shamet,M.Walker,M.Bridges,P.Bass,T.Craig
A.Holiday,0,0,109,94,17,0,6,65,113,44,0,0,46,87,162,64,0,0,158,0,96,0,199
A.Nader,0,0,0,23,36,0,39,2,4,15,0,16,0,0,9,1,0,0,22,0,0,0,0
B.Biyombo,109,0,0,45,99,0,225,2,82,127,0,0,27,19,0,11,2,6,66,0,48,0,18
C.Johnson,94,23,45,0,610,0,716,67,316,191,0,27,6,30,149,109,44,1,198,0,206,0,43
C.Payne,17,36,99,610,0,8,213,353,582,117,11,88,1,79,454,493,136,16,534,1,532,0,168
C.Hutchison,0,0,0,0,8,0,0,0,3,12,0,2,0,7,0,0,3,0,1,0,0,0,0
C.Paul,6,39,225,716,213,0,0,1080,1333,56,2,127,0,36,450,1534,156,4,452,0,1127,0,50
D.Ayton,65,2,2,67,353,0,1080,0,588,60,0,0,0,1,0,324,3,0,91,0,289,0,22
D.Booker,113,4,82,316,582,3,1333,588,0,161,1,57,0,35,239,750,55,0,149,0,632,0,97
E.Payton,44,15,127,191,117,12,56,60,161,0,7,23,15,112,195,59,65,14,107,5,154,3,91
E.Terry,0,0,0,0,11,0,2,0,1,7,0,0,0,0,0,0,0,0,1,3,0,6,0
F.Kaminsky,0,16,0,27,88,2,127,0,57,23,0,0,0,0,0,22,1,0,16,0,37,0,0
G.Lundberg,46,0,27,6,1,0,0,0,0,15,0,0,0,21,6,0,0,0,9,0,0,0,8
I.Wainright,87,0,19,30,79,7,36,1,35,112,0,0,21,0,9,1,8,6,39,8,18,5,27
J.McGee,162,9,0,149,454,0,450,0,239,195,0,0,6,9,0,82,7,0,186,0,113,0,47
J.Crowder,64,1,11,109,493,0,1534,324,750,59,0,22,0,1,82,0,7,0,142,0,441,0,25
J.Smith,0,0,2,44,136,3,156,3,55,65,0,1,0,8,7,7,0,4,39,0,20,0,0
J.Jackson,0,0,6,1,16,0,4,0,0,14,0,0,0,6,0,0,4,0,0,0,0,0,0
L.Shamet,158,22,66,198,534,1,452,91,149,107,1,16,9,39,186,142,39,0,0,2,182,0,79
M.Walker,0,0,0,0,1,0,0,0,0,5,3,0,0,8,0,0,0,0,2,0,0,2,0
M.Bridges,96,0,48,206,532,0,1127,289,632,154,0,37,0,18,113,441,20,0,182,0,0,0,60
P.Bass,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,0,0,0,2,0,0,0
T.Craig,199,0,18,43,168,0,50,22,97,91,0,0,8,27,47,25,0,0,79,0,60,0,0
