,A.Wiggins,A.Pokusevski,D.Bazley,D.Favors,G.Deck,G.Kalaitzakis,I.Roby,J.Hoard,J.Robinson-Earl,J.Giddey,K.Williams,L.Waters III,L.Dort,M.Diakite,M.Frazier Jr.,M.Muscala,O.Sarr,P.Watson,R.Edwards,S.Hopson,S.Gilgeous-Alexander,T.Maledon,T.Mann,T.Jerome,V.Krejci,Z.Simpson
A.Wiggins,0,153,99,34,1,0,116,19,74,278,47,32,99,1,0,24,33,11,0,0,265,177,120,80,63,0
A.Pokusevski,153,0,170,92,10,0,212,17,65,285,189,98,89,4,0,70,129,17,0,0,423,503,285,258,179,0
D.Bazley,99,170,0,94,0,0,106,0,117,875,147,23,326,21,0,57,19,6,0,0,1066,172,381,231,51,0
D.Favors,34,92,94,0,1,0,0,0,19,432,86,0,118,0,0,0,0,2,0,4,308,95,71,89,2,0
G.Deck,1,10,0,1,0,0,6,0,2,1,3,0,2,0,0,9,1,3,0,0,1,5,9,26,2,0
G.Kalaitzakis,0,0,0,0,0,0,39,79,2,0,0,2,0,0,20,0,10,0,0,0,0,0,0,0,42,153
I.Roby,116,212,106,0,6,39,0,45,18,183,25,68,73,0,13,2,24,19,1,1,453,347,209,132,170,110
J.Hoard,19,17,0,0,0,79,45,0,11,0,0,31,0,0,24,0,14,0,4,0,0,50,0,0,131,242
J.Robinson-Earl,74,65,117,19,2,2,18,11,0,639,83,22,270,1,5,14,9,8,0,0,694,73,107,106,25,10
J.Giddey,278,285,875,432,1,0,183,0,639,0,374,4,665,174,0,248,0,7,2,0,1141,171,451,304,8,0
K.Williams,47,189,147,86,3,0,25,0,83,374,0,3,140,12,0,117,7,4,5,1,276,191,157,342,2,0
L.Waters III,32,98,23,0,0,2,68,31,22,4,3,0,0,0,5,0,91,0,0,0,66,168,37,0,128,22
L.Dort,99,89,326,118,2,0,73,0,270,665,140,0,0,39,0,118,2,23,0,0,625,59,132,138,0,0
M.Diakite,1,4,21,0,0,0,0,0,1,174,12,0,39,0,0,0,0,0,0,0,28,18,33,88,0,0
M.Frazier Jr.,0,0,0,0,0,20,13,24,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,58
M.Muscala,24,70,57,0,9,0,2,0,14,248,117,0,118,0,0,0,0,17,1,1,434,60,86,221,2,0
O.Sarr,33,129,19,0,1,10,24,14,9,0,7,91,2,0,0,0,0,0,2,0,105,248,40,11,130,28
P.Watson,11,17,6,2,3,0,19,0,8,7,4,0,23,0,0,17,0,0,0,2,38,16,10,51,0,0
R.Edwards,0,0,0,0,0,0,1,4,0,2,5,0,0,0,0,1,2,0,0,2,0,2,0,6,0,0
S.Hopson,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2,0,0,3,0,3,0,0
S.Gilgeous-Alexander,265,423,1066,308,1,0,453,0,694,1141,276,66,625,28,0,434,105,38,0,0,0,149,469,162,87,0
T.Maledon,177,503,172,95,5,0,347,50,73,171,191,168,59,18,0,60,248,16,2,3,149,0,233,169,284,0
T.Mann,120,285,381,71,9,0,209,0,107,451,157,37,132,33,0,86,40,10,0,0,469,233,0,182,89,0
T.Jerome,80,258,231,89,26,0,132,0,106,304,342,0,138,88,0,221,11,51,6,3,162,169,182,0,7,0
V.Krejci,63,179,51,2,2,42,170,131,25,8,2,128,0,0,27,2,130,0,0,0,87,284,89,7,0,147
Z.Simpson,0,0,0,0,0,153,110,242,10,0,0,22,0,0,58,0,28,0,0,0,0,0,0,0,147,0
