,A.Edwards,C.Silva,D.Russell,G.Monroe,J.McDaniels,J.Layman,J.Vanderbilt,J.Nowell,J.McLaughlin,J.Okogie,K.Towns,L.Bolmaro,M.Beasley,M.Wright IV,N.Knight,N.Reid,P.Beverley,T.Prince
A.Edwards,0,0,1424,5,350,0,487,217,326,55,1323,75,377,0,36,352,965,273
C.Silva,0,0,0,0,1,0,0,3,2,0,0,0,2,0,0,0,0,0
D.Russell,1424,0,0,0,724,19,784,284,215,78,1708,41,782,0,36,675,729,354
G.Monroe,5,0,0,0,16,9,0,61,47,3,0,19,30,0,6,0,16,0
J.McDaniels,350,1,724,16,0,12,83,235,306,16,317,55,213,0,31,133,336,74
J.Layman,0,0,19,9,12,0,2,72,57,17,3,47,13,6,45,40,8,0
J.Vanderbilt,487,0,784,0,83,2,0,95,123,3,295,41,104,0,0,50,579,35
J.Nowell,217,3,284,61,235,72,95,0,306,58,307,76,178,6,108,275,124,158
J.McLaughlin,326,2,215,47,306,57,123,306,0,54,400,22,385,1,105,419,64,299
J.Okogie,55,0,78,3,16,17,3,58,54,0,48,42,35,6,23,39,28,9
K.Towns,1323,0,1708,0,317,3,295,307,400,48,0,78,376,0,0,22,1043,190
L.Bolmaro,75,0,41,19,55,47,41,76,22,42,78,0,45,15,77,63,0,7
M.Beasley,377,2,782,30,213,13,104,178,385,35,376,45,0,0,49,257,421,140
M.Wright IV,0,0,0,0,0,6,0,6,1,6,0,15,0,0,19,6,0,1
N.Knight,36,0,36,6,31,45,0,108,105,23,0,77,49,19,0,8,28,20
N.Reid,352,0,675,0,133,40,50,275,419,39,22,63,257,6,8,0,204,168
P.Beverley,965,0,729,16,336,8,579,124,64,28,1043,0,421,0,28,204,0,155
T.Prince,273,0,354,0,74,0,35,158,299,9,190,7,140,1,20,168,155,0
