,A.Iguodala,A.Wiggins,C.Chiozza,D.Lee,D.Green,G.Payton II,J.Dowtin Jr.,J.Kuminga,J.Poole,J.Toscano-Anderson,K.Looney,K.Thompson,M.Moody,N.Bjelica,O.Porter Jr.,Q.Weatherspoon,S.Curry
A.Iguodala,0,116,48,119,90,99,0,51,209,64,51,40,11,288,173,0,331
A.Wiggins,116,0,42,139,641,222,0,143,929,148,533,204,70,146,320,0,872
C.Chiozza,48,42,0,131,97,62,0,182,86,191,60,20,71,260,70,39,66
D.Lee,119,139,131,0,233,77,12,159,468,366,119,39,46,212,122,14,259
D.Green,90,641,97,233,0,208,0,71,1211,161,475,163,31,142,250,1,1154
G.Payton II,99,222,62,77,208,0,8,73,314,143,121,58,30,130,129,3,373
J.Dowtin Jr.,0,0,0,12,0,8,0,10,4,17,4,0,9,2,0,0,0
J.Kuminga,51,143,182,159,71,73,10,0,458,211,115,114,96,210,61,15,384
J.Poole,209,929,86,468,1211,314,4,458,0,576,810,376,122,583,485,14,684
J.Toscano-Anderson,64,148,191,366,161,143,17,211,576,0,128,75,87,278,139,15,567
K.Looney,51,533,60,119,475,121,4,115,810,128,0,203,70,13,178,3,1055
K.Thompson,40,204,20,39,163,58,0,114,376,75,203,0,39,138,108,1,299
M.Moody,11,70,71,46,31,30,9,96,122,87,70,39,0,66,17,6,69
N.Bjelica,288,146,260,212,142,130,2,210,583,278,13,138,66,0,182,12,571
O.Porter Jr.,173,320,70,122,250,129,0,61,485,139,178,108,17,182,0,3,631
Q.Weatherspoon,0,0,39,14,1,3,0,15,14,15,3,1,6,12,3,0,5
S.Curry,331,872,66,259,1154,373,0,384,684,567,1055,299,69,571,631,5,0
