,A.Holiday,A.Johnson,A.Gill,B.Wanamaker,B.Beal,C.Winston,C.Kispert,C.Sword,D.Gafford,D.Bertans,D.Avdija,G.Monroe,I.Todd,I.Smith,J.Ayayi,J.Goodwin,J.Schakel,K.Caldwell-Pope,K.Porzingis,K.Kuzma,M.Harrell,R.Neto,R.Hachimura,S.Dinwiddie,T.Bryant,T.Satoransky,T.Waters,V.Carey Jr.
A.Holiday,0,0,21,0,171,5,136,0,138,72,217,9,10,0,3,0,0,147,0,240,259,59,10,378,53,0,0,0
A.Johnson,0,0,0,0,2,0,4,0,0,1,5,0,1,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0
A.Gill,21,0,0,3,33,21,66,0,15,3,104,0,7,182,6,0,3,57,10,43,1,61,22,10,6,41,1,2
B.Wanamaker,0,0,3,0,20,0,8,0,20,0,12,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0
B.Beal,171,2,33,20,0,0,157,1,415,103,405,4,0,0,0,0,0,574,0,725,448,530,61,659,71,0,5,0
C.Winston,5,0,21,0,0,0,9,0,1,0,21,0,20,12,8,0,22,2,0,2,0,2,15,0,26,0,0,6
C.Kispert,136,4,66,8,157,9,0,8,110,26,222,4,9,316,2,2,0,156,131,271,89,352,133,319,59,146,1,4
C.Sword,0,0,0,0,1,0,8,0,3,4,2,0,3,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0
D.Gafford,138,0,15,20,415,1,110,3,0,17,238,0,0,220,3,0,2,289,1,341,0,330,33,583,0,73,0,0
D.Bertans,72,1,3,0,103,0,26,4,17,0,67,0,5,0,0,2,0,24,0,40,64,121,13,0,1,0,0,0
D.Avdija,217,5,104,12,405,21,222,2,238,67,0,1,11,498,0,0,2,189,101,338,208,516,174,471,84,201,1,6
G.Monroe,9,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,1,8,0,0,0,0
I.Todd,10,1,7,0,0,20,9,3,0,5,11,1,0,14,16,9,4,0,0,7,0,7,0,5,1,6,0,2
I.Smith,0,0,182,0,0,12,316,0,220,0,498,0,14,0,0,0,0,249,186,167,0,44,376,0,169,92,0,9
J.Ayayi,3,0,6,0,0,8,2,3,3,0,0,0,16,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0
J.Goodwin,0,0,0,0,0,0,2,2,0,2,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Schakel,0,0,3,0,0,22,0,0,2,0,2,0,4,0,6,0,0,0,0,0,0,7,0,4,5,0,0,0
K.Caldwell-Pope,147,3,57,9,574,2,156,0,289,24,189,1,0,249,0,0,0,0,248,538,137,583,128,609,68,229,2,0
K.Porzingis,0,0,10,0,0,0,131,0,1,0,101,0,0,186,0,0,0,248,0,98,0,168,74,0,0,353,0,0
K.Kuzma,240,3,43,18,725,2,271,0,341,40,338,1,7,167,0,0,0,538,98,0,197,910,122,659,125,38,4,0
M.Harrell,259,0,1,0,448,0,89,0,0,64,208,0,0,0,0,0,0,137,0,197,0,486,35,595,0,0,0,0
R.Neto,59,0,61,0,530,2,352,0,330,121,516,2,7,44,0,0,7,583,168,910,486,0,230,133,162,9,0,2
R.Hachimura,10,0,22,0,61,15,133,0,33,13,174,1,0,376,0,0,0,128,74,122,35,230,0,103,34,259,0,3
S.Dinwiddie,378,2,10,0,659,0,319,4,583,0,471,8,5,0,0,0,4,609,0,659,595,133,103,0,93,0,0,0
T.Bryant,53,0,6,0,71,26,59,0,0,1,84,0,1,169,0,0,5,68,0,125,0,162,34,93,0,16,0,0
T.Satoransky,0,0,41,0,0,0,146,0,73,0,201,0,6,92,0,0,0,229,353,38,0,9,259,0,16,0,0,7
T.Waters,0,0,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
V.Carey Jr.,0,0,2,0,0,6,4,0,0,0,6,0,2,9,0,0,0,0,0,0,0,2,3,0,0,7,0,0
